game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
145,1981,w,1-0,1.0,53,E92,23,-1,31,-1,0.0,27,k,0.9411764705882353,0,0,0,0,2,39.8235294117647,30.41176470588235,1.3386186575949865,5,1,1,2,0
148,1981,w,1-0,1.0,49,D55,13,-1,13,-1,0.0,21,q,1.0,0,2,0,0,2,44.6,30.933333333333334,1.418041850830763,8,0,0.0,3,0
149,1981,w,1-0,1.0,67,E12,12,-1,54,-1,0.0,21,k,3.0,0,0,0,0,2,41.45,44.095238095238095,0.9334856192948735,7,3,4,8,0
150,1981,w,1/2-1/2,0.5,60,E12,11,50,18,-1,0.0,21,k,2.3,0,0,1,0,2,39.75,38.95238095238095,1.0366797170756799,8,1,3,7,0
151,1981,w,1/2-1/2,0.5,51,D85,7,-1,10,-1,0.0,29,k,2.5,0,0,1,1,3,40.9375,36.5625,1.1276227485072572,7,1,3,4,0
153,1981,w,1-0,1.0,105,E12,14,50,19,103,0.02857142857142857,-1,none,1.95,0,0,1,0,3,38.2,33.0,1.2016684395124706,11,8,4,8,1
156,1981,w,1-0,1.0,75,A50,8,-1,8,-1,0.0,-1,none,2.65,0,2,1,0,3,46.55,30.61904761904762,1.5238244139631916,6,7,3,4,0
157,1981,w,1/2-1/2,0.5,55,E15,12,51,22,53,0.05454545454545454,17,k,2.9444444444444446,0,0,0,1,2,33.833333333333336,28.0,1.3021499244281616,8,4,11,3,1
158,1981,w,0-1,0.0,84,E12,11,-1,18,-1,0.0,21,k,2.4,0,0,1,1,2,40.65,35.523809523809526,1.1529714086699379,6,4,5,3,0
160,1981,w,1-0,1.0,71,D58,17,-1,17,-1,0.0,21,k,3.0,0,0,2,0,3,39.95,36.0,1.1039622659263435,10,1,2,6,0
