game_id,year,subject_color,result,subject_won,total_plies,eco,ply_first_capture,ply_queens_off,ply_first_minor_trade,endgame_reached_ply,endgame_proportion,ply_castled,castle_side,pawn_shield_score_avg,king_in_center_plies_after_ply30,doubled_pawns_at_move20,isolated_pawns_at_move20,passed_pawns_at_move20,pawn_islands_at_move20,avg_subject_mobility,avg_opponent_mobility,mobility_ratio,subject_captures_total,subject_checks_total,material_max_deficit,material_max_surplus,accepted_material_deficit_for_10_plies_and_didnt_lose
124,2003,w,1/2-1/2,0.5,54,E54,10,-1,20,-1,0.0,15,k,3.0,0,0,2,0,3,39.1764705882353,37.388888888888886,1.0810248931041966,8,0,5,4,0
126,2003,w,0-1,0.0,90,E15,17,-1,40,-1,0.0,13,k,2.5,0,0,0,0,2,42.9,36.61904761904762,1.1888854528457657,4,0,3,3,0
128,2003,w,0-1,0.0,118,A30,14,29,15,94,0.211864406779661,11,k,1.45,0,2,1,0,3,37.35,30.571428571428573,1.234370343843986,12,0,9,2,0
130,2003,w,1/2-1/2,0.5,46,E15,19,-1,19,-1,0.0,15,k,2.5384615384615383,0,0,1,0,2,44.76923076923077,35.714285714285715,1.2535676498898725,2,0,2,3,1
132,2003,w,1-0,1.0,71,B76,6,-1,18,-1,0.0,17,q,2.95,0,0,0,0,2,41.75,43.476190476190474,0.9593473828972237,12,5,3,8,1
134,2003,w,1/2-1/2,0.5,59,E94,19,28,19,-1,0.0,13,k,3.0,0,0,0,0,2,41.5,26.75,1.5903064769027717,6,2,1,9,1
136,2003,w,1/2-1/2,0.5,74,B31,12,30,20,64,0.14864864864864866,25,k,1.85,0,0,0,0,2,36.95,34.857142857142854,1.072541002138033,7,1,3,9,0
138,2003,w,1/2-1/2,0.5,77,B53,8,45,23,48,0.38961038961038963,15,q,1.4,0,2,3,0,3,37.3,32.476190476190474,1.1662409543299066,11,0,8,5,0
140,2003,w,1-0,1.0,83,B06,35,-1,35,-1,0.0,27,k,1.65,0,0,0,0,1,38.15,35.285714285714285,1.0993087010192393,7,3,3,3,0
141,2003,w,1-0,1.0,75,B31,7,64,7,-1,0.0,21,q,2.2,0,0,0,0,2,41.4,33.714285714285715,1.246006146433746,8,6,3,6,0
143,2003,w,1-0,1.0,35,B40,8,-1,13,-1,0.0,19,q,2.0,0,-1,-1,-1,-1,39.25,44.75,0.8596245144215063,5,1,3,3,0
145,2003,w,1/2-1/2,0.5,60,E15,17,-1,23,-1,0.0,25,k,2.8,0,0,0,0,2,39.25,39.42857142857143,1.0124536664913095,9,0,5,5,0
147,2003,w,1/2-1/2,0.5,96,B38,14,-1,20,-1,0.0,13,k,2.3,0,0,0,0,2,39.1,38.904761904761905,1.0247113202883105,7,0,9,5,0
149,2003,w,1/2-1/2,0.5,71,E21,14,29,14,-1,0.0,23,k,2.45,5,2,3,0,3,28.9,28.428571428571427,1.0423691189529054,7,1,9,3,0
